Folder,Model,Custom_metric
0,cb:0.0-cf:1.0,0.46222222222222226
0,cb:0.1-cf:0.9,0.46222222222222226
0,cb:0.2-cf:0.8,0.42888888888888893
0,cb:0.30000000000000004-cf:0.7000000000000001,0.42888888888888893
0,cb:0.4-cf:0.6000000000000001,0.42888888888888893
0,cb:0.5-cf:0.5,0.41777777777777786
0,cb:0.6000000000000001-cf:0.4,0.41777777777777786
0,cb:0.7000000000000001-cf:0.30000000000000004,0.41777777777777786
0,cb:0.8-cf:0.2,0.39555555555555555
0,cb:0.9-cf:0.1,0.3844444444444445
0,cb:1.0-cf:0.0,0.15555555555555556
