user_id,id_session,url_course,course_name,lesson_name,timestamp
32459478.1632488742,1632488745,/en/word2016/getting-started-with-word/1/?lo=,word2016,getting-started-with-word,2021-09-24T13:05:45.194494Z
32459586.1638410232,1638410231,/en/googleaccount/locked-out-of-your-google-account/1/?lo=,googleaccount,locked-out-of-your-google-account,2021-12-02T01:57:11.376028Z
32460195.1626172432,1626172439,/en/powerpoint2013/tables/1/?lo=,powerpoint2013,tables,2021-07-13T10:33:59.026231Z
32460550.1634711129,1634711128,/en/computerbasics/basic-parts-of-a-computer/1/?lo=,computerbasics,basic-parts-of-a-computer,2021-10-20T06:25:28.856985Z
32460680.1640874279,1640874278,/en/excel2013/formatting-cells/1/?lo=,excel2013,formatting-cells,2021-12-30T14:24:38.069378Z
32460916.1634470909,1634470912,/en/excel2013/modifying-columns-rows-and-cells/1/?lo=,excel2013,modifying-columns-rows-and-cells,2021-10-17T11:41:52.384626Z
32460996.1641401899,1641401898,/en/excel-tips/use-an-entire-column-as-a-cell-range/1/?lo=,excel-tips,use-an-entire-column-as-a-cell-range,2022-01-05T16:58:18.586971Z
32461126.1638403312,1638403312,/en/computerbasics/understanding-operating-systems/1/?lo=,computerbasics,understanding-operating-systems,2021-12-02T00:01:52.288695Z
32461141.1640004029,1640004028,/en/googledocuments/using-indents-and-tabs/1/?lo=,googledocuments,using-indents-and-tabs,2021-12-20T12:40:28.697648Z
32461336.1638549967,1638549967,/en/thenow/what-is-clickbait/1/?lo=,thenow,what-is-clickbait,2021-12-03T16:46:07.044511Z
32461353.1642432991,1642432990,/en/computerbasics/what-is-a-computer/1/?lo=,computerbasics,what-is-a-computer,2022-01-17T15:23:10.349107Z
32461406.1639638798,1639638843,/en/tr_ar-excel-2016/formatting-cells-/1/?lo=,tr_ar-excel-2016,formatting-cells-,2021-12-16T07:14:03.543118Z
32461880.1642068752,1642068752,/en/word2016/saving-and-sharing-documents/1/?lo=,word2016,saving-and-sharing-documents,2022-01-13T10:45:01.713581Z
32461880.1642068752,1642068752,/en/word2016/creating-and-opening-documents/1/?lo=,word2016,creating-and-opening-documents,2022-01-13T10:33:08.016808Z
32461880.1642068752,1642068752,/en/word2016/saving-and-sharing-documents/1/?lo=,word2016,saving-and-sharing-documents,2022-01-13T10:32:40.872527Z
32461880.1642068752,1642068752,/en/word2016/creating-and-opening-documents/1/?lo=,word2016,creating-and-opening-documents,2022-01-13T10:24:41.962506Z
32461880.1642068752,1642068752,/en/word2016/understanding-onedrive/1/?lo=,word2016,understanding-onedrive,2022-01-13T10:23:14.752026Z
32461880.1642068752,1642068752,/en/word2016/getting-started-with-word/1/?lo=,word2016,getting-started-with-word,2022-01-13T10:22:43.460701Z
32461880.1642068752,1642068752,/en/word2016/getting-started-with-word/1/?lo=,word2016,getting-started-with-word,2022-01-13T10:13:40.066276Z
32462160.1630003214,1630003213,/en/internetexplorer/browsing-the-web-/1/?lo=,internetexplorer,browsing-the-web-,2021-08-26T18:40:13.604684Z
32462682.1628547612,1628547610,/en/facebook101/deactivating-your-facebook-account/1/?lo=,facebook101,deactivating-your-facebook-account,2021-08-09T22:20:10.792814Z
32462682.1641179899,1641179899,/en/tr_id-word-2016/breaks/1/?lo=,tr_id-word-2016,breaks,2022-01-03T03:44:31.550622Z
32462682.1641179899,1641179899,/en/tr_id-word-2016/nomor-halaman/1/?lo=,tr_id-word-2016,nomor-halaman,2022-01-03T03:18:19.637243Z
32462880.1635183079,1635183088,/en/gmail/setting-up-a-gmail-account/1/?lo=,gmail,setting-up-a-gmail-account,2021-10-25T17:31:28.854397Z
32462889.1643456142,1643456141,/en/computerbasics/setting-up-a-computer/1/?lo=,computerbasics,setting-up-a-computer,2022-01-29T11:35:41.937055Z
3246301.1639585368,1639585368,/en/excel/creating-more-complex-formulas/1/?lo=,excel,creating-more-complex-formulas,2021-12-15T16:22:51.637066Z
32463549.1626834208,1626834206,/en/tr_id-computer-basics/teknikteknik-dasar-penyelesaian-masalah-troubleshooting-komputer/1/?lo=,tr_id-computer-basics,teknikteknik-dasar-penyelesaian-masalah-troubleshooting-komputer,2021-07-21T02:27:50.799241Z
32463549.1626834208,1626834206,/en/tr_id-computer-basics/menciptakan-ruang-kerja-yang-aman-dan-nyaman/1/?lo=,tr_id-computer-basics,menciptakan-ruang-kerja-yang-aman-dan-nyaman,2021-07-21T02:27:49.787983Z
32463549.1626834208,1626834206,/en/tr_id-computer-basics/teknikteknik-dasar-penyelesaian-masalah-troubleshooting-komputer/1/?lo=,tr_id-computer-basics,teknikteknik-dasar-penyelesaian-masalah-troubleshooting-komputer,2021-07-21T02:27:22.548820Z
32463549.1626834208,1626834206,/en/tr_id-computer-basics/menciptakan-ruang-kerja-yang-aman-dan-nyaman/1/?lo=,tr_id-computer-basics,menciptakan-ruang-kerja-yang-aman-dan-nyaman,2021-07-21T02:25:37.531191Z
32463549.1626834208,1626834206,/en/tr_id-computer-basics/melindungi-komputer-anda/1/?lo=,tr_id-computer-basics,melindungi-komputer-anda,2021-07-21T02:23:26.714020Z
32463669.1632865053,1632865052,/en/excel2016/filtering-data/1/?lo=,excel2016,filtering-data,2021-09-28T21:37:32.835588Z
32463786.1630648936,1630648936,/en/tr_id-word-2016/spasi-baris-dan-paragraf/1/?lo=,tr_id-word-2016,spasi-baris-dan-paragraf,2021-09-03T06:02:16.835390Z
32463917.1626427627,1626427627,/en/resumewriting/additional-information-and-references/1/?lo=,resumewriting,additional-information-and-references,2021-07-16T09:27:07.811171Z
32463989.1622711152,1641398097,/en/basic-computer-skills/getting-started-with-your-first-computer/1/?lo=,basic-computer-skills,getting-started-with-your-first-computer,2022-01-05T15:55:03.733817Z
32463989.1622711152,1622711152,/en/basic-computer-skills/getting-started-with-your-first-computer/1/?lo=,basic-computer-skills,getting-started-with-your-first-computer,2021-06-03T09:05:55.672076Z
32463989.1622711152,1622711152,/en/computerbasics/getting-started-with-your-first-computer/1/?lo=,computerbasics,getting-started-with-your-first-computer,2021-06-03T09:05:52.363379Z
32464315.1629110274,1629110274,/en/basic-computer-skills/disable-applications-from-running-on-startup/1/?lo=,basic-computer-skills,disable-applications-from-running-on-startup,2021-08-16T10:37:54.636252Z
32464610.1631347043,1631347044,/en/excel2016/working-with-multiple-worksheets/1/?lo=,excel2016,working-with-multiple-worksheets,2021-09-11T07:57:24.365214Z
32465229.1628728380,1628728385,/en/word2013/headers-footers-and-page-numbers/1/?lo=,word2013,headers-footers-and-page-numbers,2021-08-12T00:33:05.908501Z
32465592.1629630599,1629630599,/en/basic-computer-skills/disable-applications-from-running-on-startup/1/?lo=,basic-computer-skills,disable-applications-from-running-on-startup,2021-08-22T11:09:59.020591Z
32465793.1643222284,1643222283,/en/powerpoint/shapes/1/?lo=,powerpoint,shapes,2022-01-26T18:48:57.829886Z
32465793.1643222284,1643222283,/en/powerpoint/formatting-pictures/1/?lo=,powerpoint,formatting-pictures,2022-01-26T18:40:47.812050Z
32465793.1643222284,1643222283,/en/powerpoint/inserting-pictures/1/?lo=,powerpoint,inserting-pictures,2022-01-26T18:38:10.456679Z
32466056.1634989190,1634989191,/en/word2016/getting-started-with-word/1/?lo=,word2016,getting-started-with-word,2021-10-23T11:39:51.413278Z
32466188.1633974276,1633974277,/en/computerbasics/what-is-a-computer/1/?lo=,computerbasics,what-is-a-computer,2021-10-11T17:46:50.459338Z
