Folder,Corpus,Custom_metric
0,html_course,0.18077222222222208
0,all_description_lesson,0.17305555555555538
0,description_course,0.151261111111111
1,html_course,0.18732222222222203
1,all_description_lesson,0.1802055555555554
1,description_course,0.15521111111111102
2,html_course,0.18313333333333326
2,all_description_lesson,0.17447222222222214
2,description_course,0.15496111111111102
3,html_course,0.18896111111111108
3,all_description_lesson,0.17383333333333317
3,description_course,0.15667222222222213
4,html_course,0.18965555555555558
4,all_description_lesson,0.18529999999999996
4,description_course,0.1628166666666665
5,html_course,0.18387222222222208
5,all_description_lesson,0.1752666666666665
5,description_course,0.15536666666666657
6,html_course,0.1842388888888888
6,all_description_lesson,0.16982222222222207
6,description_course,0.14934444444444434
7,html_course,0.18087777777777758
7,all_description_lesson,0.17603888888888866
7,description_course,0.15576111111111096
8,html_course,0.1841666666666665
8,all_description_lesson,0.17485555555555535
8,description_course,0.1518444444444443
9,html_course,0.1943444444444444
9,all_description_lesson,0.18327777777777776
9,description_course,0.15782222222222214
10,html_course,0.18459999999999988
10,all_description_lesson,0.17326666666666654
10,description_course,0.15405555555555545
11,html_course,0.1837444444444443
11,all_description_lesson,0.181811111111111
11,description_course,0.15869444444444433
12,html_course,0.1937722222222222
12,all_description_lesson,0.17741666666666653
12,description_course,0.15532777777777768
13,html_course,0.19351666666666664
13,all_description_lesson,0.18113333333333326
13,description_course,0.164411111111111
14,html_course,0.1860999999999999
14,all_description_lesson,0.17439999999999978
14,description_course,0.1561444444444443
15,html_course,0.1832222222222221
15,all_description_lesson,0.16742777777777765
15,description_course,0.15359444444444434
16,html_course,0.1838888888888888
16,all_description_lesson,0.17355555555555544
16,description_course,0.15943333333333323
17,html_course,0.18413333333333318
17,all_description_lesson,0.17153888888888866
17,description_course,0.15073333333333327
18,html_course,0.1804944444444443
18,all_description_lesson,0.17183888888888874
18,description_course,0.16233333333333325
19,html_course,0.19003888888888884
19,all_description_lesson,0.1828555555555555
19,description_course,0.15742222222222213
20,html_course,0.1850722222222221
20,all_description_lesson,0.17356666666666648
20,description_course,0.15374999999999991
21,html_course,0.1809222222222221
21,all_description_lesson,0.17032777777777758
21,description_course,0.15293333333333317
22,html_course,0.17578888888888877
22,all_description_lesson,0.167622222222222
22,description_course,0.15048888888888878
23,html_course,0.19522222222222224
23,all_description_lesson,0.17866111111111094
23,description_course,0.154611111111111
24,html_course,0.19052777777777768
24,all_description_lesson,0.18472777777777769
24,description_course,0.16226111111111105
25,html_course,0.1863388888888888
25,all_description_lesson,0.1690666666666665
25,description_course,0.1505388888888888
26,html_course,0.19062777777777778
26,all_description_lesson,0.17641666666666653
26,description_course,0.15455555555555545
27,html_course,0.18497222222222212
27,all_description_lesson,0.1697999999999998
27,description_course,0.1563333333333332
28,html_course,0.1866055555555555
28,all_description_lesson,0.16905555555555535
28,description_course,0.15304444444444434
29,html_course,0.18709999999999988
29,all_description_lesson,0.1689444444444443
29,description_course,0.15696111111111102
30,html_course,0.18830555555555548
30,all_description_lesson,0.17698888888888883
30,description_course,0.159361111111111
31,html_course,0.1903999999999999
31,all_description_lesson,0.1756388888888888
31,description_course,0.1562666666666666
32,html_course,0.19080555555555562
32,all_description_lesson,0.17789444444444427
32,description_course,0.16021111111111103
33,html_course,0.1908166666666666
33,all_description_lesson,0.1829888888888888
33,description_course,0.1586333333333332
34,html_course,0.187111111111111
34,all_description_lesson,0.17652777777777767
34,description_course,0.15923333333333325
35,html_course,0.18831111111111112
35,all_description_lesson,0.17554444444444428
35,description_course,0.1505333333333332
36,html_course,0.19208888888888878
36,all_description_lesson,0.17588333333333314
36,description_course,0.15992777777777767
37,html_course,0.17998888888888878
37,all_description_lesson,0.1650999999999998
37,description_course,0.1490888888888888
38,html_course,0.17771111111111096
38,all_description_lesson,0.16496666666666648
38,description_course,0.14704444444444434
39,html_course,0.19568333333333335
39,all_description_lesson,0.17447222222222197
39,description_course,0.15679999999999994
40,html_course,0.1918833333333332
40,all_description_lesson,0.18294444444444427
40,description_course,0.16554999999999992
41,html_course,0.19472777777777775
41,all_description_lesson,0.17463888888888868
41,description_course,0.16480555555555546
42,html_course,0.1938611111111111
42,all_description_lesson,0.17813888888888876
42,description_course,0.15332222222222214
43,html_course,0.19647222222222216
43,all_description_lesson,0.18279444444444432
43,description_course,0.1650444444444444
44,html_course,0.19842777777777776
44,all_description_lesson,0.17346666666666646
44,description_course,0.16279999999999994
45,html_course,0.17976111111111095
45,all_description_lesson,0.17194444444444432
45,description_course,0.15711666666666657
46,html_course,0.18552222222222212
46,all_description_lesson,0.17307222222222207
46,description_course,0.15212777777777772
47,html_course,0.1834222222222221
47,all_description_lesson,0.16994444444444426
